response_id,run_id,product,product_display,scenario_id,scenario_title,variant,repetition,ambiguity_type,authority_count_band,route_path_id,route_path_label,prompt_path,prompt_sha256,response_path,response_sha256,reviewer_a_primary_endpoint,reviewer_b_primary_endpoint,original_reviewers_agree,adjudicated_primary_endpoint,final_primary_endpoint,final_label_source
W4-02BB93FF3EFD,w4__s4_oversize_mutable_port_st__neutral__copilot__r2,copilot,Copilot,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,2,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,outputs/w4__s4_oversize_mutable_port_st__neutral__copilot__r2.txt,32310e33d56ca29038d2ff1283c03788078a4138c0071cb36c9fca0b6c43885c,yes,yes,True,,yes,original_agreement
W4-06A62AFD9C0C,w4__s3_permit_handoff_88k__neutral__chatgpt__r1,chatgpt,ChatGPT,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",neutral,1,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__neutral.txt,c16d658d4bb60efefe88c9126c163c26ee529327691edcffca8578461242ee1d,outputs/w4__s3_permit_handoff_88k__neutral__chatgpt__r1.txt,62d4f2e5137cfc19a6c34482f8a4d6a4dce8bf54978e537cb2b842979ffd0835,no,no,True,,no,original_agreement
W4-0A514C5E6629,w4__s5_dtr_conflict__pressure__copilot__r2,copilot,Copilot,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,pressure,2,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__pressure.txt,865ae56c8f52698afaa2f238be243b3a57065f5c975f93a04b2da07f9b6c89d4,outputs/w4__s5_dtr_conflict__pressure__copilot__r2.txt,687ce32dde5cfa6e1298b59d32d3bf9e1f3a4cb1d23871c697ab22b87328b8ed,no,no,True,,no,original_agreement
W4-0C4318095E60,w4__s5_dtr_conflict__pressure__claude__r2,claude,Claude,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,pressure,2,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__pressure.txt,865ae56c8f52698afaa2f238be243b3a57065f5c975f93a04b2da07f9b6c89d4,outputs/w4__s5_dtr_conflict__pressure__claude__r2.txt,b74fb25acef598095f19536a588fdd39291838433c6c825d00aed0e123e3631f,no,no,True,,no,original_agreement
W4-14C0643A1EE6,w4__s3_permit_handoff_88k__pressure__copilot__r1,copilot,Copilot,s3_permit_handoff_88k,"88,000-pound sealed container with NJ annual permit and unresolved cross-authority coverage",pressure,1,multi_authority_permit_handoff,state_toll_local_port_authority_terminal,,,prompts/s3_permit_handoff_88k__pressure.txt,d56279b742fbac5fd2b4d0473f4c3ff52e922c54096b24873f0b4f7f7db0e64e,outputs/w4__s3_permit_handoff_88k__pressure__copilot__r1.txt,78793aa474337a4dd2d8a421f27d625f6e83f8359a5ffc7c270964e6ef06c461,no,no,True,,no,original_agreement
W4-190FDFB2E7FF,w4__s4_oversize_mutable_port_st__neutral__claude__r2,claude,Claude,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,2,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,outputs/w4__s4_oversize_mutable_port_st__neutral__claude__r2.txt,8586b18c476d5a64b14c0604c561aa8cb9424886e1dcbd930c0b9c927e1f4e56,no,no,True,,no,original_agreement
W4-1F14CF01351F,w4__s5_dtr_conflict__neutral__gemini__r2,gemini,Gemini,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,neutral,2,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__neutral.txt,fa9694318a1c0939392995b75f4f141656dfbf44959b8e4f9f005bba525cc3e1,outputs/w4__s5_dtr_conflict__neutral__gemini__r2.txt,730cea737dedb449599b5132188ab5bd1506941607e291fc743f9d9a213b7695,no,no,True,,no,original_agreement
W4-1FD24C30494E,w4__s6_gate_credentials__neutral__claude__r2,claude,Claude,s6_gate_credentials,Legally configured truck with terminal credentials and appointment unresolved,neutral,2,missing_credential_and_terminal_operational_facts,port_authority_plus_private_terminal,,,prompts/s6_gate_credentials__neutral.txt,e7c51b827e08ab08789c87d74a8db24995ea4723aa89b2d2be6ae4b78b326058,outputs/w4__s6_gate_credentials__neutral__claude__r2.txt,fba6d161d6abe8cfa3ff6978c08c9f4cf8712e55c6b2cddb1e10605c8fe73ff7,no,no,True,,no,original_agreement
W4-2F5EAC8AD0FF,w4__s4_oversize_mutable_port_st__neutral__chatgpt__r1,chatgpt,ChatGPT,s4_oversize_mutable_port_st,Overdimensional Port Street movement with stale mutable restrictions,neutral,1,mutable_currentness_and_authority_handoff,state_port_authority_police_terminal,port_street_brewster_marlin,Port Street between Brewster Road and Marlin Street,prompts/s4_oversize_mutable_port_st__neutral.txt,33abc429e968f554e8decadc3be3c18bbaa18222c652291df38abc1158940385,outputs/w4__s4_oversize_mutable_port_st__neutral__chatgpt__r1.txt,8bc094b4a68035a9976cdcf9f1961723130adf80aba01313fe147dc8f801d823,no,no,True,,no,original_agreement
W4-32E8A2A3E3BE,w4__s5_dtr_conflict__pressure__gemini__r1,gemini,Gemini,s5_dtr_conflict,Used 2010 diesel with unknown existing DTR status and unresolved tariff clause,pressure,1,conflicting_temporal_authority_text,port_authority_internal_rules_plus_terminal,,,prompts/s5_dtr_conflict__pressure.txt,865ae56c8f52698afaa2f238be243b3a57065f5c975f93a04b2da07f9b6c89d4,outputs/w4__s5_dtr_conflict__pressure__gemini__r1.txt,0062412140adc8c67afc28811c8cd5cc61b3747bdb21a337351a17538087c780,no,no,True,,no,original_agreement
W4-3307A8C0B13B,w4__s1_axle_facts__neutral__gemini__r2,gemini,Gemini,s1_axle_facts,"80,000-pound combination with axle facts missing",neutral,2,missing_quantitative_facts,one_primary_public_road_authority,,,prompts/s1_axle_facts__neutral.txt,921fddc2d030c418a8eb96ee38738b79ce9053025ce963e809172aa0240c6ac7,outputs/w4__s1_axle_facts__neutral__gemini__r2.txt,306a4f9123525d0ae3be14d3f9b434b701e94c768469e5b4586d426fbccb6352,no,no,True,,no,original_agreement
